"Probiotic" "Days" "AMP"
"1" "Yes" 13 87.14
"2" "Yes" 16 91.87
"3" "Yes" 14 85.47
"4" "Yes" 14 99.42
"5" "Yes" 2 73.64
"6" "Yes" 12 80.96
"7" "Yes" 9 89.38
"8" "Yes" 8 85.83
"9" "Yes" 0 61.48
"10" "Yes" 8 84.43
"11" "Yes" 18 104.73
"12" "Yes" 10 83.74
"13" "Yes" 2 82.4
"14" "Yes" 14 84.78
"15" "Yes" 7 73.66
"16" "Yes" 11 72.7
"17" "Yes" 1 73.51
"18" "Yes" 8 94.16
"19" "Yes" 16 88.03
"20" "Yes" 10 89.12
"21" "Yes" 9 86.26
"22" "Yes" 17 99.53
"23" "Yes" 19 95.6
"24" "Yes" 3 75.4
"25" "Yes" 3 69.34
"26" "Yes" 14 94.54
"27" "Yes" 1 62.92
"28" "Yes" 14 95.66
"29" "Yes" 2 66.52
"30" "Yes" 9 76.47
"31" "Yes" 10 100.31
"32" "Yes" 17 107.79
"33" "Yes" 1 77.46
"34" "Yes" 19 87.6
"35" "Yes" 15 85.13
"36" "Yes" 3 67.99
"37" "Yes" 2 84.61
"38" "Yes" 13 98.59
"39" "Yes" 3 78.82
"40" "Yes" 9 86.5
"41" "No" 6 68.79
"42" "No" 2 76.29
"43" "No" 10 74.7
"44" "No" 16 65.2
"45" "No" 17 62.04
"46" "No" 17 74.62
"47" "No" 0 62.43
"48" "No" 0 60.79
"49" "No" 13 71.64
"50" "No" 2 55.84
"51" "No" 3 64.43
"52" "No" 8 63.7
"53" "No" 5 68.24
"54" "No" 19 74.29
"55" "No" 10 73.9
"56" "No" 3 64.41
"57" "No" 16 79.33
"58" "No" 8 76.48
"59" "No" 10 68.91
"60" "No" 19 66.13
"61" "No" 11 71.84
"62" "No" 16 61.38
"63" "No" 11 80.37
"64" "No" 13 68.75
"65" "No" 12 74.19
"66" "No" 17 70.45
"67" "No" 12 69.58
"68" "No" 4 68.64
"69" "No" 17 72.26
"70" "No" 6 65.98
"71" "No" 15 61.7
"72" "No" 7 74.55
"73" "No" 5 71.58
"74" "No" 0 66.51
"75" "No" 18 77.48
"76" "No" 5 67.61
"77" "No" 10 74.61
"78" "No" 0 61.08
"79" "No" 3 64.9
"80" "No" 16 68.02
