"Probiotic" "Diet" "Shannon.diversity"
"1" "Yes" "Highfibre" 6.1
"2" "Yes" "Highfibre" 5.39
"3" "Yes" "Highfibre" 6.71
"4" "Yes" "Highfibre" 6.92
"5" "Yes" "Highfibre" 6.63
"6" "Yes" "Highfibre" 6.07
"7" "Yes" "Highfibre" 7.79
"8" "Yes" "Highfibre" 6.77
"9" "Yes" "Highfibre" 6.23
"10" "Yes" "Highfibre" 5.19
"11" "Yes" "Highfibre" 5.54
"12" "Yes" "Highfibre" 6.25
"13" "Yes" "Highfibre" 6.66
"14" "Yes" "Highfibre" 6.27
"15" "Yes" "Highfibre" 6.48
"16" "Yes" "Highfibre" 6.42
"17" "Yes" "Highfibre" 6.74
"18" "Yes" "Highfibre" 5.76
"19" "Yes" "Highfibre" 5.06
"20" "Yes" "Highfibre" 4.27
"21" "Yes" "Highfibre" 7.07
"22" "Yes" "Highfibre" 6.53
"23" "Yes" "Highfibre" 5.78
"24" "Yes" "Highfibre" 6.53
"25" "Yes" "Highfibre" 6.33
"26" "Yes" "Highfibre" 5.94
"27" "Yes" "Highfibre" 6.99
"28" "Yes" "Highfibre" 6.52
"29" "Yes" "Highfibre" 6.74
"30" "Yes" "Highfibre" 6.59
"31" "Yes" "Normal" 3.87
"32" "Yes" "Normal" 4.02
"33" "Yes" "Normal" 4.79
"34" "Yes" "Normal" 5.11
"35" "Yes" "Normal" 4.16
"36" "Yes" "Normal" 4.85
"37" "Yes" "Normal" 6.33
"38" "Yes" "Normal" 4.77
"39" "Yes" "Normal" 5.51
"40" "Yes" "Normal" 4.45
"41" "Yes" "Normal" 3.89
"42" "Yes" "Normal" 3.25
"43" "Yes" "Normal" 4.48
"44" "Yes" "Normal" 5.38
"45" "Yes" "Normal" 4.94
"46" "Yes" "Normal" 3.75
"47" "Yes" "Normal" 2.35
"48" "Yes" "Normal" 3.87
"49" "Yes" "Normal" 5.03
"50" "Yes" "Normal" 4.4
"51" "Yes" "Normal" 4.04
"52" "Yes" "Normal" 5.15
"53" "Yes" "Normal" 4.5
"54" "Yes" "Normal" 4.49
"55" "Yes" "Normal" 4.49
"56" "Yes" "Normal" 3.02
"57" "Yes" "Normal" 3.38
"58" "Yes" "Normal" 5.11
"59" "Yes" "Normal" 5.19
"60" "Yes" "Normal" 4.6
"61" "No" "Highfibre" -0.23
"62" "No" "Highfibre" 4.64
"63" "No" "Highfibre" 2.73
"64" "No" "Highfibre" 1.53
"65" "No" "Highfibre" 2.7
"66" "No" "Highfibre" 1.72
"67" "No" "Highfibre" 3.5
"68" "No" "Highfibre" 2.89
"69" "No" "Highfibre" 1.93
"70" "No" "Highfibre" 2.7
"71" "No" "Highfibre" 1.84
"72" "No" "Highfibre" 2.83
"73" "No" "Highfibre" 2.83
"74" "No" "Highfibre" 2.02
"75" "No" "Highfibre" 3.29
"76" "No" "Highfibre" 2.33
"77" "No" "Highfibre" 2.59
"78" "No" "Highfibre" 1.09
"79" "No" "Highfibre" 2.76
"80" "No" "Highfibre" 3.32
"81" "No" "Highfibre" 4.56
"82" "No" "Highfibre" 2.83
"83" "No" "Highfibre" 3.49
"84" "No" "Highfibre" 2.01
"85" "No" "Highfibre" 2.49
"86" "No" "Highfibre" 3.89
"87" "No" "Highfibre" 2.99
"88" "No" "Highfibre" 3.2
"89" "No" "Highfibre" 2.81
"90" "No" "Highfibre" 3.89
"91" "No" "Normal" 1.47
"92" "No" "Normal" 1.7
"93" "No" "Normal" 1.2
"94" "No" "Normal" 1.27
"95" "No" "Normal" 2.68
"96" "No" "Normal" 2.82
"97" "No" "Normal" 1.13
"98" "No" "Normal" 1.79
"99" "No" "Normal" 1.62
"100" "No" "Normal" 3.64
"101" "No" "Normal" 2.35
"102" "No" "Normal" 1.17
"103" "No" "Normal" 2.42
"104" "No" "Normal" 3.53
"105" "No" "Normal" 2.96
"106" "No" "Normal" 1.33
"107" "No" "Normal" 3.25
"108" "No" "Normal" 1.55
"109" "No" "Normal" 1.45
"110" "No" "Normal" 2.93
"111" "No" "Normal" 2.45
"112" "No" "Normal" 1.02
"113" "No" "Normal" 0.93
"114" "No" "Normal" 1.85
"115" "No" "Normal" 1.97
"116" "No" "Normal" 2.7
"117" "No" "Normal" 1.78
"118" "No" "Normal" 3.25
"119" "No" "Normal" 1.94
"120" "No" "Normal" 2.99
