"Treatment" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25"
"1" "A" 9 4 3 7 10 0 3 1 9 7 1 2 5 2 4 5 0 6 5 0 6 7 5 9 6
"2" "A" 6 4 5 5 4 0 0 3 9 1 0 4 6 5 5 3 2 2 3 0 0 11 1 5 4
"3" "A" 6 3 4 4 9 0 3 4 11 10 2 8 3 5 6 4 1 5 5 0 2 14 1 1 4
"4" "A" 11 6 6 9 5 0 2 3 10 6 2 3 5 6 3 4 0 3 5 0 1 11 3 6 5
"5" "A" 5 5 2 7 5 0 4 5 7 6 3 5 4 4 6 1 1 7 3 0 3 10 1 6 9
"6" "A" 7 2 5 9 4 0 0 1 8 5 1 5 7 3 5 3 1 1 4 0 3 9 2 2 5
"7" "A" 7 2 3 8 11 0 1 7 9 8 2 9 4 2 4 2 1 3 1 0 2 12 7 4 1
"8" "A" 2 7 3 8 8 0 2 4 13 5 1 2 8 2 8 7 1 1 2 0 0 8 4 3 7
"9" "A" 5 3 5 4 6 0 3 2 1 4 2 6 6 6 3 8 1 1 3 0 3 4 1 10 8
"10" "A" 7 4 3 3 5 0 1 3 9 7 1 2 4 2 3 5 1 5 1 0 1 8 5 8 5
"11" "A" 8 3 3 2 0 0 2 1 8 5 0 7 7 4 7 5 2 2 1 0 3 12 3 6 6
"12" "A" 8 5 6 7 6 0 2 4 9 2 1 2 8 8 3 3 3 3 1 0 4 7 4 6 7
"13" "A" 6 4 5 3 1 0 7 4 14 2 0 6 7 5 4 8 0 1 7 0 4 8 3 3 8
"14" "A" 8 5 2 5 2 0 0 3 9 5 0 4 5 6 6 4 0 5 0 0 1 8 2 5 9
"15" "A" 13 2 7 5 7 0 5 5 11 6 1 3 4 6 3 4 2 4 2 0 3 12 3 6 3
"16" "A" 8 2 3 7 5 0 1 1 9 5 2 6 4 3 5 4 0 3 0 0 3 8 0 6 7
"17" "A" 10 5 2 7 4 0 1 4 12 5 1 4 5 6 0 5 0 4 0 0 1 10 3 11 1
"18" "A" 9 4 4 9 9 0 2 3 18 9 0 3 6 3 7 8 0 9 2 0 1 10 2 5 5
"19" "A" 12 4 5 3 5 0 2 6 11 5 0 5 2 2 3 4 2 5 2 0 2 9 2 5 5
"20" "A" 5 3 3 6 8 0 0 4 10 4 1 4 4 3 2 3 3 2 8 0 2 9 3 8 4
"21" "A" 5 7 1 7 8 0 0 5 12 8 2 3 3 2 3 4 0 3 4 0 4 6 4 8 6
"22" "A" 5 4 1 5 10 0 2 2 10 8 0 3 5 7 2 6 1 3 2 0 1 8 3 4 2
"23" "A" 8 0 6 7 7 0 2 4 6 7 1 5 4 6 2 6 1 3 3 0 2 12 1 2 5
"24" "A" 6 3 2 5 5 0 3 4 14 1 0 5 8 4 3 5 1 4 1 0 3 14 1 9 3
"25" "A" 12 3 5 2 3 0 1 5 8 4 0 3 3 4 2 5 1 5 2 0 0 10 3 6 11
"26" "A" 5 5 6 8 6 0 1 2 7 9 2 7 9 3 3 5 0 2 2 0 1 9 2 7 4
"27" "A" 5 1 3 7 5 0 1 6 13 4 1 4 5 4 4 4 3 2 5 0 1 6 3 5 8
"28" "A" 6 9 3 7 10 0 2 7 9 2 2 5 6 5 4 9 0 7 3 0 3 6 3 5 4
